rank,university,city,state,type,website
63,New Jersey Institute of Technology,Newark,NJ,Public,https://www.njit.edu/
64,Dartmouth College,Hanover,NH,Private,https://home.dartmouth.edu/
65,University of Connecticut,Storrs,CT,Public,https://uconn.edu/
66,Michigan State University,East Lansing,MI,Public,https://msu.edu/
67,University of Pittsburgh,Pittsburgh,PA,Public,https://www.pitt.edu/
68,College of William & Mary,Williamsburg,VA,Public,https://www.wm.edu/
69,Florida State University,Tallahassee,FL,Public,https://www.fsu.edu/
70,Vanderbilt University,Nashville,TN,Private,https://www.vanderbilt.edu/
71,Tufts University,Medford,MA,Private,https://www.tufts.edu/
72,Binghamton University,Binghamton,NY,Public,https://www.binghamton.edu/
73,Stevens Institute of Technology,Hoboken,NJ,Private,https://www.stevens.edu/
74,University of Delaware,Newark,DE,Public,https://www.udel.edu/
75,University of North Carolina at Charlotte,Charlotte,NC,Public,https://www.charlotte.edu/
76,Clemson University,Clemson,SC,Public,https://www.clemson.edu/
77,"University of California, Merced",Merced,CA,Public,https://www.ucmerced.edu/
78,University of South Florida,Tampa,FL,Public,https://www.usf.edu/
79,Worcester Polytechnic Institute,Worcester,MA,Private,https://www.wpi.edu/
80,University of Georgia,Athens,GA,Public,https://www.uga.edu/
81,California Institute of Technology,Pasadena,CA,Private,https://www.caltech.edu/
82,Iowa State University,Ames,IA,Public,https://www.iastate.edu/
83,University of Arizona,Tucson,AZ,Public,https://www.arizona.edu/
84,Emory University,Atlanta,GA,Private,https://www.emory.edu/
85,Tulane University,New Orleans,LA,Private,https://tulane.edu/
86,Washington State University,Pullman,WA,Public,https://wsu.edu/
87,Wayne State University,Detroit,MI,Public,https://wayne.edu/
88,Drexel University,Philadelphia,PA,Private,https://www.drexel.edu/
89,Florida International University,Miami,FL,Public,https://www.fiu.edu/
90,Toyota Technological Institute at Chicago,Chicago,IL,Private,https://www.ttic.edu/
91,Georgetown University,Washington,DC,Private,https://www.georgetown.edu/
92,Temple University,Philadelphia,PA,Public,https://www.temple.edu/
93,Rensselaer Polytechnic Institute,Troy,NY,Private,https://www.rpi.edu/
94,"University of Maryland, Baltimore County",Baltimore,MD,Public,https://www.umbc.edu/
95,"City University of New York, Graduate Center",New York,NY,Public,https://www.gc.cuny.edu/
96,George Washington University,Washington,DC,Private,https://www.gwu.edu/
97,University of Massachusetts Lowell,Lowell,MA,Public,https://www.uml.edu/
98,"University of Tennessee, Knoxville",Knoxville,TN,Public,https://www.utk.edu/
99,University of Oregon,Eugene,OR,Public,https://www.uoregon.edu/
100,University of North Texas,Denton,TX,Public,https://www.unt.edu/
