rank,name,state,url,people_url
22,Rice University,TX,https://csweb.rice.edu,https://csweb.rice.edu/people/faculty
23,University of Massachusetts Amherst,MA,https://www.cics.umass.edu,https://www.cics.umass.edu/people/faculty
24,Ohio State University,OH,https://cse.osu.edu,https://cse.osu.edu/people/faculty
25,Northeastern University,MA,https://www.khoury.northeastern.edu,https://www.khoury.northeastern.edu/people/
26,Duke University,NC,https://cs.duke.edu,https://cs.duke.edu/people/faculty
27,New York University,NY,https://cs.nyu.edu,https://cs.nyu.edu/home/people/in-year-faculty.html
28,Virginia Tech,VA,https://cs.vt.edu,https://cs.vt.edu/people/faculty.html
29,Texas A&M University,TX,https://engineering.tamu.edu/cse,https://engineering.tamu.edu/cse/people/faculty.html
30,University of Utah,UT,https://www.cs.utah.edu,https://www.cs.utah.edu/people/faculty/
31,Rutgers University,NJ,https://www.cs.rutgers.edu,https://www.cs.rutgers.edu/people/faculty
32,University of California-Irvine,CA,https://www.ics.uci.edu,https://www.ics.uci.edu/community/people/faculty
33,Johns Hopkins University,MD,https://www.cs.jhu.edu,https://www.cs.jhu.edu/faculty/
34,Pennsylvania State University,PA,https://www.cse.psu.edu,https://www.cse.psu.edu/people/faculty
35,University of Colorado Boulder,CO,https://www.colorado.edu/cs,https://www.colorado.edu/cs/academics/faculty
36,Stony Brook University,NY,https://www.cs.stonybrook.edu,https://www.cs.stonybrook.edu/people/faculty
37,University of California-Santa Barbara,CA,https://www.cs.ucsb.edu,https://www.cs.ucsb.edu/people/faculty
38,Brown University,RI,https://cs.brown.edu,https://cs.brown.edu/people/faculty/
39,University of Chicago,IL,https://cs.uchicago.edu,https://cs.uchicago.edu/people/faculty/
40,Arizona State University,AZ,https://scai.engineering.asu.edu,https://scai.engineering.asu.edu/faculty/
41,University of Minnesota-Twin Cities,MN,https://cse.umn.edu/cs,https://cse.umn.edu/cs/people/faculty
42,North Carolina State University,NC,https://www.csc.ncsu.edu,https://www.csc.ncsu.edu/people/faculty
43,University of Virginia,VA,https://www.cs.virginia.edu,https://www.cs.virginia.edu/people/faculty/
44,Washington University in St. Louis,MO,https://cse.wustl.edu,https://cse.wustl.edu/people/faculty/
45,University of California-Davis,CA,https://cs.ucdavis.edu,https://cs.ucdavis.edu/people/faculty
46,University of Rochester,NY,https://www.cs.rochester.edu,https://www.cs.rochester.edu/people/faculty/
47,Indiana University Bloomington,IN,https://luddy.indiana.edu,https://luddy.indiana.edu/faculty-research/index.html
48,University of Arizona,AZ,https://cs.arizona.edu,https://cs.arizona.edu/people/faculty
49,Michigan State University,MI,https://cse.msu.edu,https://cse.msu.edu/people/faculty/
50,University of North Carolina at Chapel Hill,NC,https://cs.unc.edu,https://cs.unc.edu/people/faculty/
51,Boston University,MA,https://www.bu.edu/cs,https://www.bu.edu/cs/people/faculty/
52,University of California-Santa Cruz,CA,https://www.cse.ucsc.edu,https://www.cse.ucsc.edu/people/faculty
53,Dartmouth College,NH,https://cs.dartmouth.edu,https://cs.dartmouth.edu/people/faculty
54,Case Western Reserve University,OH,https://engineering.case.edu/eecs,https://engineering.case.edu/eecs/people/faculty
55,University at Buffalo,NY,https://www.buffalo.edu/cse,https://www.buffalo.edu/cse/people/faculty.html
56,Iowa State University,IA,https://www.cs.iastate.edu,https://www.cs.iastate.edu/people/faculty
57,College of William & Mary,VA,https://www.cs.wm.edu,https://www.cs.wm.edu/people/faculty
58,University of Florida,FL,https://www.cise.ufl.edu,https://www.cise.ufl.edu/people/faculty/
59,Vanderbilt University,TN,https://engineering.vanderbilt.edu/computer-science,https://engineering.vanderbilt.edu/computer-science/faculty
60,Colorado State University,CO,https://www.cs.colostate.edu,https://www.cs.colostate.edu/people/faculty/
61,Worcester Polytechnic Institute,MA,https://www.wpi.edu/academics/departments/computer-science,https://www.wpi.edu/academics/departments/computer-science/people
62,George Mason University,VA,https://cs.gmu.edu,https://cs.gmu.edu/people/faculty/
63,Oregon State University,OR,https://eecs.oregonstate.edu,https://eecs.oregonstate.edu/people/faculty
64,University of Pittsburgh,PA,https://www.cs.pitt.edu,https://www.cs.pitt.edu/people/faculty
65,Washington State University,WA,https://www.eecs.wsu.edu,https://www.eecs.wsu.edu/people/faculty/
66,Wayne State University,MI,https://cs.wayne.edu,https://cs.wayne.edu/people/faculty
67,Northwestern University,IL,https://www.cs.northwestern.edu,https://www.cs.northwestern.edu/people/faculty/
68,Auburn University,AL,https://eng.auburn.edu/computer-science-software-engineering,https://eng.auburn.edu/computer-science-software-engineering/people/faculty.html
69,Florida State University,FL,https://www.cs.fsu.edu,https://www.cs.fsu.edu/people/faculty
70,Georgia State University,GA,https://cs.gsu.edu,https://cs.gsu.edu/people/faculty/
71,Illinois Institute of Technology,IL,https://www.cs.iit.edu,https://www.cs.iit.edu/people/faculty
72,Stevens Institute of Technology,NJ,https://www.stevens.edu/school-engineering-science/departments/computer-science,https://www.stevens.edu/school-engineering-science/departments/computer-science/faculty
73,University of Delaware,DE,https://www.eecis.udel.edu,https://www.eecis.udel.edu/people/faculty
74,Rensselaer Polytechnic Institute,NY,https://www.cs.rpi.edu,https://www.cs.rpi.edu/people/faculty
75,Syracuse University,NY,https://ecs.syracuse.edu/academics/computer-science,https://ecs.syracuse.edu/faculty-staff
76,Temple University,PA,https://cis.temple.edu,https://cis.temple.edu/people/faculty
77,University at Albany-SUNY,NY,https://www.albany.edu/computer-science,https://www.albany.edu/computer-science/faculty
78,University of Central Florida,FL,https://www.cs.ucf.edu,https://www.cs.ucf.edu/people/faculty/
79,University of Cincinnati,OH,https://eecs.ceas.uc.edu,https://eecs.ceas.uc.edu/people/faculty
80,University of Houston,TX,https://www.cs.uh.edu,https://www.cs.uh.edu/people/faculty
81,University of Illinois Chicago,IL,https://cs.uic.edu,https://cs.uic.edu/directory/faculty/
82,University of Iowa,IA,https://cs.uiowa.edu,https://cs.uiowa.edu/people/faculty
83,University of Kansas,KS,https://eecs.ku.edu,https://eecs.ku.edu/people/faculty
84,University of Kentucky,KY,https://www.cs.uky.edu,https://www.cs.uky.edu/people/faculty
85,University of Louisiana at Lafayette,LA,https://www.cacs.louisiana.edu,https://www.cacs.louisiana.edu/people/faculty
86,University of Nebraska-Lincoln,NE,https://cse.unl.edu,https://cse.unl.edu/faculty
87,University of New Mexico,NM,https://cs.unm.edu,https://cs.unm.edu/people/faculty
88,University of Notre Dame,IN,https://cse.nd.edu,https://cse.nd.edu/people/faculty/
89,University of Oklahoma,OK,https://www.ou.edu/coe/cs,https://www.ou.edu/coe/cs/people/faculty
90,University of Oregon,OR,https://www.cs.uoregon.edu,https://www.cs.uoregon.edu/people/faculty
91,University of South Carolina,SC,https://sc.edu/study/colleges_schools/engineering_and_computing/computer_science_and_engineering,https://sc.edu/study/colleges_schools/engineering_and_computing/computer_science_and_engineering/our_people/faculty
92,University of South Florida,FL,https://www.usf.edu/engineering/cse,https://www.usf.edu/engineering/cse/people/faculty.aspx
93,University of Tennessee-Knoxville,TN,https://www.eecs.utk.edu,https://www.eecs.utk.edu/people/faculty/
94,University of Texas at Dallas,TX,https://cs.utdallas.edu,https://cs.utdallas.edu/people/faculty/
95,University of Texas at Arlington,TX,https://www.uta.edu/academics/schools-colleges/engineering/academics/departments/cse,https://www.uta.edu/academics/schools-colleges/engineering/academics/departments/cse/people/faculty
96,University of Wisconsin-Milwaukee,WI,https://uwm.edu/engineering/departments/computer-science,https://uwm.edu/engineering/departments/computer-science/people/
97,Villanova University,PA,https://www1.villanova.edu/university/engineering/departments/csc.html,https://www1.villanova.edu/university/engineering/departments/csc/faculty.html
98,Virginia Commonwealth University,VA,https://egr.vcu.edu/academics/computer-science,https://egr.vcu.edu/academics/computer-science/faculty
99,Wright State University,OH,https://www.wright.edu/college-of-engineering-and-computer-science/computer-science-and-engineering,https://www.wright.edu/college-of-engineering-and-computer-science/computer-science-and-engineering/faculty
100,Binghamton University-SUNY,NY,https://www.binghamton.edu/computer-science,https://www.binghamton.edu/computer-science/faculty
